cons_email_id,cons_id,cons_email_type_id,is_primary,email,canonical_local_part,domain,double_validation,create_dt,create_app,create_user,modified_dt,modified_app,modified_user,status,note
1,548198,3361,1,xmartinez@vincent.com,,gmail.com,,"Wed, 1994-01-26 23:49:16",4072,9954,"Sat, 2014-04-19 19:10:39",1990,7595,1,
2,491137,2474,1,hmiller@haynes.biz,jqCyozTDojYuylQPTHfm,hotmail.com,,"Thu, 1999-12-09 06:18:27",1600,5716,"Sat, 1984-07-14 05:55:27",4686,3248,1,
3,413429,5175,1,aaron64@yahoo.com,FCBeBiVoqnnKDWjnllhN,yahoo.com,kRLZexQEwYIMbwFNvQxg,"Wed, 1992-11-18 16:46:27",7358,2685,"Sun, 1995-12-24 13:13:01",3857,7405,1,
4,347346,4117,1,wyattvincent@hotmail.com,,gmail.com,zSbfmlqXimGyWVBUGdQg,"Sat, 1983-11-26 16:49:14",881,3444,"Sun, 1975-01-19 14:32:56",8713,7713,1,
5,443000,6781,1,tspencer@hotmail.com,VaQIYlKcUkIywkKKEptD,gmail.com,,"Wed, 2000-11-15 13:28:34",5380,5456,"Sun, 1994-03-13 16:38:37",765,8618,1,
6,412213,226,1,ogarcia@gmail.com,plEoepTGqWOhdZUZsEKK,gmail.com,,"Thu, 1984-03-08 11:40:21",3423,4910,"Mon, 1986-04-07 08:14:46",99,4832,1,
7,282118,5477,1,scott06@thompson.info,txFZqAuoDzXhrrKJePGJ,yahoo.com,,"Tue, 1975-11-25 06:42:33",8112,252,"Mon, 1975-06-02 18:42:40",1924,9055,1,
8,624574,5784,1,allenrobert@yahoo.com,tjaiAMmxqpBKiTgKvcfN,gmail.com,,"Sun, 1973-11-11 20:10:53",1901,6427,"Mon, 1995-07-10 03:12:20",2544,6526,1,
9,603436,7790,1,madeline69@mccarthy-jackson.com,,hotmail.com,TTSshhSpgVPLzlrEBkjo,"Mon, 1976-06-28 08:58:19",7418,8577,"Tue, 2001-07-24 12:10:57",741,4342,1,
10,185213,5912,1,bishopshannon@gmail.com,,gmail.com,FAjeAoTZTNAikikCualt,"Sun, 1988-08-07 10:51:50",960,1269,"Sat, 2013-06-22 23:28:06",1619,1698,1,
11,317872,4986,1,egarza@johns.com,,yahoo.com,qkNnWVTmtjdmRXBpSQTm,"Tue, 1991-07-16 01:54:05",8184,1261,"Tue, 2013-03-19 10:25:00",9707,1538,0,
