email,create_dt,modified_dt,isunsub,source
xmartinez@vincent.com,"Wed, 1994-01-26 23:49:16","Sat, 2014-04-19 19:10:39",1.0,google
hmiller@haynes.biz,"Thu, 1999-12-09 06:18:27","Sat, 1984-07-14 05:55:27",1.0,facebook
aaron64@yahoo.com,"Wed, 1992-11-18 16:46:27","Sun, 1995-12-24 13:13:01",1.0,
wyattvincent@hotmail.com,"Sat, 1983-11-26 16:49:14","Sun, 1975-01-19 14:32:56",1.0,google
tspencer@hotmail.com,"Wed, 2000-11-15 13:28:34","Sun, 1994-03-13 16:38:37",1.0,
ogarcia@gmail.com,"Thu, 1984-03-08 11:40:21","Mon, 1986-04-07 08:14:46",1.0,google
scott06@thompson.info,"Tue, 1975-11-25 06:42:33","Mon, 1975-06-02 18:42:40",1.0,
allenrobert@yahoo.com,"Sun, 1973-11-11 20:10:53","Mon, 1995-07-10 03:12:20",1.0,twitter
madeline69@mccarthy-jackson.com,"Mon, 1976-06-28 08:58:19","Tue, 2001-07-24 12:10:57",1.0,twitter
bishopshannon@gmail.com,"Sun, 1988-08-07 10:51:50","Sat, 2013-06-22 23:28:06",1.0,twitter
egarza@johns.com,"Tue, 1991-07-16 01:54:05","Tue, 2013-03-19 10:25:00",1.0,google
